CODE,day,t,dn,dc,cc,BS,DP,DN,SS,SB
CODE_1.SZ,20241230,9:25:00:000,529004,0,0,S,4.6,500,381122,341168
CODE_1.SZ,20241230,9:25:00:000,529005,0,0,S,4.6,3700,381122,347405
CODE_1.SZ,20241230,9:25:00:000,529006,0,0,S,4.6,1600,397115,347405
CODE_1.SZ,20241230,9:25:00:000,529007,0,0,S,4.6,100,440430,347405
CODE_1.SZ,20241230,9:25:00:000,529008,0,0,S,4.6,2200,446094,347405
CODE_1.SZ,20241230,9:25:00:000,529009,0,0,S,4.6,2400,466081,347405
CODE_1.SZ,20241230,9:25:00:000,529010,0,0,S,4.6,300,466081,347747
CODE_1.SZ,20241230,9:25:00:000,529011,0,0,S,4.6,4700,481413,347747
CODE_1.SZ,20241230,9:25:00:000,529012,0,0,S,4.6,3000,481413,350084
CODE_1.SZ,20241230,9:25:00:000,529013,0,0,S,4.6,500,481413,351108
CODE_1.SZ,20241230,9:25:00:000,529014,0,0,S,4.6,300,481413,378623
CODE_1.SZ,20241230,9:25:00:000,529015,0,0,S,4.6,1000,481413,384948
CODE_1.SZ,20241230,9:25:00:000,529016,0,0,S,4.6,800,481413,389918
CODE_1.SZ,20241230,9:25:00:000,529017,0,0,S,4.6,500,481413,395932
CODE_1.SZ,20241230,9:25:00:000,529018,0,0,S,4.6,800,481413,397485
CODE_1.SZ,20241230,9:25:00:000,529019,0,0,S,4.6,600,481413,397757
CODE_1.SZ,20241230,9:25:00:000,529020,0,0,S,4.6,500,497576,397757
CODE_1.SZ,20241230,9:25:00:000,529021,0,0,S,4.6,5000,497576,398567
CODE_1.SZ,20241230,9:25:00:000,529022,0,0,S,4.6,100,497576,413033
CODE_1.SZ,0,9:26:00:000,0, , ,,0,0,0,0
CODE_1.SZ,20241230,9:30:00:030,587849,0,0,B,4.61,9700,308254,587848
CODE_1.SZ,20241230,9:30:00:060,598077,0,0,B,4.61,500,308254,598076
CODE_1.SZ,20241230,9:30:00:060,599161,0,0,B,4.61,500,308254,599160
CODE_1.SZ,20241230,9:30:00:070,603390,C,0, ,0,100,0,445156
CODE_1.SZ,20241230,9:30:00:070,607002,C,0, ,0,4200,334993,0
CODE_1.SZ,20241230,9:30:00:070,607743,C,0, ,0,1200,0,424990
CODE_1.SZ,20241230,9:30:00:080,608054,C,0, ,0,3300,450652,0
CODE_1.SZ,20241230,9:30:00:080,609118,0,0,S,4.6,300,609117,413033
CODE_1.SZ,20241230,9:30:00:080,609119,0,0,S,4.6,700,609117,414684
